team,team_country,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,players_used_against,avg_age_against,possession_against,games_against,games_starts_against,minutes_against,minutes_90s_against,goals_against,assists_against,goals_assists_against,goals_pens_against,pens_made_against,pens_att_against,cards_yellow_against,cards_red_against,goals_per90_against,assists_per90_against,goals_assists_per90_against,goals_pens_per90_against,goals_assists_pens_per90_against,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,shots_against,shots_on_target_against,shots_on_target_pct_against,shots_per90_against,shots_on_target_per90_against,goals_per_shot_against,goals_per_shot_on_target_against,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,minutes_per_game_against,minutes_pct_against,minutes_per_start_against,games_complete_against,games_subs_against,minutes_per_sub_against,unused_subs_against,points_per_game_against,on_goals_for_against,on_goals_against_against,plus_minus_against,plus_minus_per90_against,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_games_against,gk_games_starts_against,gk_minutes_against,gk_goals_against_against,gk_goals_against_per90_against,gk_shots_on_target_against_against,gk_saves_against,gk_save_pct_against,gk_wins_against,gk_ties_against,gk_losses_against,gk_clean_sheets_against,gk_clean_sheets_pct_against,gk_pens_att_against,gk_pens_allowed_against,gk_pens_saved_against,gk_pens_missed_against,gk_pens_save_pct_against
Algeria,Algeria,16,27.2,52.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16,29.4,48.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,7,0,0.0,7.0,0.0,0.0,,10,6,60.0,10.0,6.0,0.3,0.5,90,100,81,6,5,20,10,0.0,0,3,-3,-3.0,90,100,81,6,5,28,10,3.0,3,0,3,3.0,0,8,13,1,8,8,10,,,0,0,13,7,3,5,12,17,,,0,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,1,1,90,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
Argentina,Argentina,16,29.4,48.0,1,11,90,1.0,3,2,5,3,0,0,0,0,3.0,2.0,5.0,3.0,5.0,16,27.2,52.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,6,60.0,10.0,6.0,0.3,0.5,7,0,0.0,7.0,0.0,0.0,,90,100,77,6,5,28,10,3.0,3,0,3,3.0,90,100,77,6,5,20,10,0.0,0,3,-3,-3.0,0,13,7,3,5,12,17,,,0,0,8,13,1,8,8,10,,,0,1,1,90,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Australia,Australia,18,25.4,33.0,2,22,180,2.0,2,1,3,2,0,0,4,0,1.0,0.5,1.5,1.0,1.5,18,27.3,67.0,2,22,180,2.0,1,0,1,1,0,0,4,0,0.5,0.0,0.5,0.5,0.5,14,6,42.9,7.0,3.0,0.14,0.33,40,10,25.0,20.0,5.0,0.03,0.1,90,100,78,12,10,26,20,1.5,2,2,0,0.0,90,100,78,12,10,14,19,1.5,2,2,0,0.0,0,28,15,1,33,13,15,,,1,0,16,27,4,40,25,16,,,0,2,2,180,2,1.0,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,2,2,180,2,1.0,6,4,66.7,1,0,1,1,50.0,0,0,0,0,
Austria,Austria,16,29.2,63.0,1,11,90,1.0,2,1,3,1,1,1,1,0,2.0,1.0,3.0,1.0,2.0,16,28.3,37.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.0,1.0,2.0,1.0,2.0,11,4,36.4,11.0,4.0,0.09,0.25,11,4,36.4,11.0,4.0,0.09,0.25,90,100,76,6,5,30,10,3.0,3,1,2,2.0,90,100,76,6,5,9,10,0.0,1,3,-2,-2.0,0,12,6,3,17,15,8,,,0,0,7,9,1,15,12,7,,,1,1,1,90,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,3,3.0,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0
Belgium,Belgium,16,29.6,54.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16,29.6,46.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.0,1.0,2.0,1.0,2.0,15,3,20.0,15.0,3.0,0.0,0.0,14,3,21.4,14.0,3.0,0.07,0.33,90,100,80,6,5,21,9,1.0,1,1,0,0.0,90,100,80,6,5,12,10,1.0,1,1,0,0.0,0,15,15,0,16,10,11,,,0,0,15,14,1,13,12,17,,,1,1,1,90,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
Bosnia & Herz.,Bosnia and Herzegovina,19,26.8,38.5,2,22,180,2.0,2,1,3,2,0,0,5,1,1.0,0.5,1.5,1.0,1.5,19,28.8,61.5,2,22,180,2.0,5,3,8,4,1,1,3,0,2.5,1.5,4.0,2.0,3.5,13,6,46.2,6.5,3.0,0.15,0.33,26,11,42.3,13.0,5.5,0.15,0.36,90,100,82,11,10,17,20,0.5,2,5,-3,-1.5,90,100,82,12,10,17,19,2.0,5,2,3,1.5,0,38,17,1,22,22,16,,,0,0,17,37,4,46,8,29,,,0,2,2,180,5,2.5,8,4,50.0,0,1,1,0,0.0,1,1,0,0,0.0,2,2,180,2,1.0,6,4,66.7,1,1,0,0,0.0,0,0,0,0,
Brazil,Brazil,20,29.8,54.0,2,22,180,2.0,4,3,7,4,0,0,3,0,2.0,1.5,3.5,2.0,3.5,20,27.4,46.0,2,22,180,2.0,1,1,2,1,0,0,3,0,0.5,0.5,1.0,0.5,1.0,20,10,50.0,10.0,5.0,0.2,0.4,21,6,28.6,10.5,3.0,0.05,0.17,90,100,77,12,10,29,18,2.0,4,1,3,1.5,90,100,77,12,10,22,20,0.5,1,4,-3,-1.5,0,29,27,8,25,15,23,,,0,0,28,29,5,26,13,28,,,0,2,2,180,1,0.5,6,5,83.3,1,1,0,1,50.0,0,0,0,0,,2,2,180,4,2.0,10,6,60.0,0,1,1,0,0.0,0,0,0,0,
Cabo Verde,Cape Verde,16,31.4,26.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16,27.3,74.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,6,1,16.7,6.0,1.0,0.0,0.0,27,7,25.9,27.0,7.0,0.0,0.0,90,100,79,6,5,23,10,1.0,0,0,0,0.0,90,100,79,7,4,14,11,1.0,0,0,0,0.0,0,1,9,3,4,16,10,,,0,0,10,1,2,36,6,12,,,0,1,1,90,0,0.0,7,7,100.0,0,1,0,1,100.0,0,0,0,0,,1,1,90,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Canada,Canada,19,27.5,70.0,2,22,180,2.0,6,2,8,6,0,0,3,0,3.0,1.0,4.0,3.0,4.0,19,27.5,30.0,2,22,180,2.0,1,1,2,1,0,0,4,2,0.5,0.5,1.0,0.5,1.0,45,14,31.1,22.5,7.0,0.13,0.43,10,3,30.0,5.0,1.5,0.1,0.33,90,100,79,12,10,23,19,2.0,7,1,6,3.0,90,100,79,11,10,27,20,0.5,1,7,-6,-3.0,0,19,30,2,79,10,20,,,0,0,30,19,1,13,21,23,,,1,2,2,180,1,0.5,3,2,66.7,1,1,0,1,50.0,0,0,0,0,,2,2,180,7,3.5,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
Colombia,Colombia,16,30.3,62.0,1,11,90,1.0,3,3,6,3,0,0,1,0,3.0,3.0,6.0,3.0,6.0,16,27.8,38.0,1,11,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0,15,4,26.7,15.0,4.0,0.2,0.75,8,2,25.0,8.0,2.0,0.13,0.5,90,100,86,6,5,9,10,3.0,3,1,2,2.0,90,100,86,6,5,24,10,0.0,1,3,-2,-2.0,0,11,13,3,15,6,4,,,0,0,14,10,0,13,7,7,,,0,1,1,90,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,1,1,90,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
